image_urls,brand_names,descriptions,type,event
https://cdn-images.farfetch-contents.com/19/77/56/13/19775613_44221752_480.jpg ,Miu Miu,Single-breasted radzimir vest,jacket,meeting
https://cdn-images.farfetch-contents.com/19/18/00/15/19180015_42608158_480.jpg ,Alexander McQueen,eyelet-embellished wool jacket,jacket,meeting
https://cdn-images.farfetch-contents.com/19/12/75/42/19127542_42161102_480.jpg ,Lanvin,single-breasted tailored jacket,jacket,meeting
https://cdn-images.farfetch-contents.com/20/13/36/92/20133692_50354443_480.jpg ,RTA,single-breasted long-sleeved blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/19/58/71/38/19587138_44682601_480.jpg ,Lemaire,checked double-breasted blazer,jacket,meeting
https://cdn-images.farfetch-contents.com/16/67/97/93/16679793_36580136_480.jpg ,Dion Lee,buckled cropped jacket,jacket,meeting
https://cdn-images.farfetch-contents.com/19/89/93/75/19899375_50134660_480.jpg ,Rebecca Vallance,Carine tweed tailored trousers,jacket,meeting
https://cdn-images.farfetch-contents.com/19/67/23/21/19672321_44066509_480.jpg ,Dsquared2,tailored single-breasted suit,jacket,meeting
https://cdn-images.farfetch-contents.com/21/38/86/16/21388616_51596442_480.jpg ,b+ab,single-breasted tweed skirt suit,jacket,meeting
https://cdn-images.farfetch-contents.com/21/38/86/25/21388625_51455807_480.jpg ,b+ab,single-breasted tweed skirt suit,jacket,meeting
https://cdn-images.farfetch-contents.com/19/90/00/11/19900011_50135186_480.jpg ,Rebecca Vallance,Carine tweed single-breasted blazer,jacket,meeting
