image_urls,brand_names,descriptions,event,type
https://cdn-images.farfetch-contents.com/20/31/39/74/20313974_50380587_480.jpg  ,Sporty & Rich,logo-embroidery terry-cloth shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/31/39/92/20313992_50383392_480.jpg  ,Sporty & Rich,logo-embroidered terry-cloth shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/23/37/14/20233714_50258504_480.jpg  ,Reformation,Ethan drawstring shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/50/54/82/19505482_45335808_480.jpg  ,Polo Ralph Lauren,wide-leg chino shorts,causal,bottom
https://cdn-images.farfetch-contents.com/17/98/59/28/17985928_38108601_480.jpg  ,Osklen,side-stripe mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/26/58/21/20265821_50360703_480.jpg  ,Diesel,mid-rise denim mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/68/81/13/19688113_44027912_480.jpg  ,Aries,logo-print striped track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/65/54/08/19655408_44774743_480.jpg  ,STYLAND,x noRainProof organic cotton track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/68/25/23/19682523_50441934_480.jpg  ,Oséree,Lumière Lurex shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/92/75/21489275_51596260_480.jpg  ,b+ab,asymmetric belted mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/92/45/21489245_51602021_480.jpg  ,b+ab,contrasting-trim asymmetric tweed skort,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/63/53/21486353_51595754_480.jpg  ,b+ab,contrasting-trim asymmetric tweed skort,causal,bottom
https://cdn-images.farfetch-contents.com/21/48/39/45/21483945_51595855_480.jpg  ,b+ab,contrasting-trim asymmetric tweed skort,causal,bottom
https://cdn-images.farfetch-contents.com/20/89/90/94/20899094_50876278_480.jpg  ,Sporty & Rich,x Lacoste logo-patch mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/93/12/90/18931290_41253575_480.jpg  ,Natasha Zinko,boxer style cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/17/34/25/48/17342548_37538059_480.jpg  ,Natasha Zinko,elasticated-waist boxer shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/32/93/45/20329345_50446476_480.jpg  ,GANNI,zebra-print organic cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/58/34/25/18583425_40236444_480.jpg  ,AGOLDE,Stella high-rise denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/84/91/00/20849100_51307353_480.jpg  ,Maje,sequinned mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/15/70/96/20157096_50171187_480.jpg  ,Ba&Sh,Peck striped crochet-knit shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/10/89/08/20108908_45316709_480.jpg  ,Ba&Sh,tied-waist cotton mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/44/61/33/21446133_51605271_480.jpg  ,STYLAND,sequin-embellished shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/65/64/75/19656475_43983879_480.jpg  ,STYLAND,sequin-embellished mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/73/06/27/20730627_50771612_480.jpg  ,STYLAND,organic-cotton jersey shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/72/98/42/20729842_51074259_480.jpg  ,STYLAND,organic cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/72/98/38/20729838_50731171_480.jpg  ,STYLAND,organic-cotton jersey mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/05/52/86/20055286_50476500_480.jpg  ,Ksubi,Kali distressed-finish denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/84/49/83/19844983_44655645_480.jpg  ,Loulou Studio,Seto elasticated shorts,causal,bottom
https://cdn-images.farfetch-contents.com/21/41/84/62/21418462_51477612_480.jpg  ,Sporty & Rich,stripe-detailing pleated skort,causal,bottom
https://cdn-images.farfetch-contents.com/20/73/10/11/20731011_50812746_480.jpg  ,STYLAND,organic cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/73/10/09/20731009_50811173_480.jpg  ,STYLAND,organic cotton shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/55/87/26/20558726_50619876_480.jpg  ,STYLAND,high-waist cotton mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/17/78/01/92/17780192_37475354_480.jpg  ,Marc Jacobs,The Sport cycling shorts,causal,bottom
https://cdn-images.farfetch-contents.com/16/98/44/14/16984414_33900247_480.jpg  ,Golden Goose,embroidered-logo shorts,causal,bottom
https://cdn-images.farfetch-contents.com/15/43/36/13/15433613_27432910_480.jpg  ,Alchemy,x Lia Aram high-waist vinyl shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/32/78/84/19327884_44770237_480.jpg  ,Patrizia Pepe,plissé-effect tied shorts ,causal,bottom
https://cdn-images.farfetch-contents.com/20/46/74/46/20467446_51009384_480.jpg  ,Wolford,high-waisted biker shorts,causal,bottom
https://cdn-images.farfetch-contents.com/17/76/65/08/17766508_37265882_480.jpg  ,Jacquemus,fine-ribbed knitted cycling shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/13/41/29/20134129_50246105_480.jpg  ,GANNI,zebra-print crinked shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/92/36/88/19923688_50340103_480.jpg  ,AGOLDE,Cooper cargo denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/50/25/67/20502567_51135730_480.jpg  ,Cashmere In Love,Gali fine-knit shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/50/19/08/20501908_51134330_480.jpg  ,Cashmere In Love,Gali fine-knit shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/50/19/05/20501905_51145545_480.jpg  ,Cashmere In Love,Kira crochet-knit shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/50/19/00/20501900_51138694_480.jpg  ,Cashmere In Love,Kira crochet-knit mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/25/47/99/19254799_42331459_480.jpg  ,Patrizia Pepe,check-print tailored mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/24/51/60/20245160_51282551_480.jpg  ,PINKO,checked mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/57/73/39/20577339_50541810_480.jpg  ,Oséree,Lumière Lurex shorts,causal,bottom
https://cdn-images.farfetch-contents.com/20/47/39/13/20473913_50508708_480.jpg  ,Oséree,metallic-effect mini shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/88/24/26/19882426_44667406_480.jpg  ,ROTATE,sequinned denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/17/37/68/45/17376845_37405138_480.jpg  ,Diesel,embroidered-logo mini denim shorts,causal,bottom
https://cdn-images.farfetch-contents.com/19/20/20/79/19202079_42165948_480.jpg  ,MISBHV,logo-print cycling shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/05/80/83/18058083_38262623_480.jpg  ,TOTEME,straight-leg track shorts,causal,bottom
https://cdn-images.farfetch-contents.com/18/66/63/31/18666331_40378518_480.jpg  ,Alexander Wang,Bite logo-print denim shorts,causal,bottom
